Пост мониторинга,Период,NO2,O3,H2S,CO,SO2,"Температура, °С","Давление, мм рт. ст.","Влажность, %","Скорость ветра, м/с","Направление ветра, °"
Площадка 21 414,2025-04-22 11:40:00,65.4860000000,51.2340000000,0.4120000000,424.7070000000,0.5390000000,25.5370000000,754.2320259574,25.2370000000,2.3590000000,247.2630000000
Площадка 21 414,2025-04-22 12:00:00,66.6330000000,52.1510000000,0.4280000000,430.1760000000,0.4200000000,25.8400000000,754.1945228733,25.1050000000,1.6840000000,248.1000000000
Площадка 21 414,2025-04-22 12:20:00,67.5530000000,50.1520000000,0.4350000000,432.3060000000,0.4550000000,25.7050000000,754.1420185555,25.3200000000,1.7040000000,255.8000000000
Площадка 21 414,2025-04-22 12:40:00,67.0570000000,50.4390000000,0.3580000000,424.6590000000,0.5670000000,24.0100000000,754.3370345930,30.3900000000,2.4450000000,265.1500000000
Площадка 21 414,2025-04-22 13:00:00,66.0020000000,48.5700000000,0.3950000000,421.5890000000,0.4740000000,21.5850000000,754.5170493970,40.1750000000,1.3400000000,276.1000000000
Площадка 21 414,2025-04-22 13:20:00,67.3540000000,46.9700000000,0.4080000000,447.7730000000,0.4900000000,21.4900000000,754.5920555653,37.8650000000,1.0420000000,278.4000000000
Площадка 21 414,2025-04-22 13:40:00,67.7690000000,53.5710000000,0.3720000000,435.9040000000,0.5290000000,21.5370000000,754.8170740702,35.5890000000,2.8450000000,286.0000000000
Площадка 21 414,2025-04-22 14:00:00,69.1480000000,55.3830000000,0.4200000000,454.9560000000,4.8040000000,19.5650000000,755.1020975097,45.2000000000,1.7420000000,282.2000000000
Площадка 21 414,2025-04-22 14:20:00,69.8860000000,49.4780000000,0.3670000000,540.4960000000,2.5440000000,19.2300000000,754.9070814721,46.9850000000,0.2170000000,255.2000000000
Площадка 21 414,2025-04-22 14:40:00,64.6340000000,51.2900000000,0.3210000000,497.4290000000,0.4600000000,19.1450000000,755.0420925751,46.3650000000,0.2460000000,300.2500000000
Площадка 21 414,2025-04-22 15:00:00,62.8370000000,40.5550000000,0.2800000000,656.3310000000,0.3790000000,18.4150000000,755.1696030612,56.3150000000,0.1660000000,228.1000000000
Площадка 21 414,2025-04-22 15:20:00,56.7120000000,49.3010000000,0.3440000000,442.0850000000,0.5180000000,17.9600000000,755.2446092295,55.4150000000,0.3050000000,67.8000000000
Площадка 21 414,2025-04-22 15:40:00,52.4430000000,51.0470000000,0.3540000000,423.2640000000,0.4750000000,17.9400000000,755.4771283512,57.3250000000,0.4230000000,90.4500000000
Площадка 21 414,2025-04-22 16:00:00,51.0620000000,49.5250000000,0.3150000000,417.9690000000,0.4690000000,17.2750000000,755.7921542581,58.6800000000,0.3160000000,135.1500000000
Площадка 21 414,2025-04-22 16:20:00,50.6350000000,49.3840000000,0.3890000000,410.8180000000,0.5780000000,16.8450000000,756.2346906510,59.5850000000,0.3110000000,167.3000000000
Площадка 21 414,2025-04-22 16:40:00,49.1710000000,47.2950000000,0.3750000000,402.4430000000,0.3760000000,16.4800000000,756.2796943520,61.1000000000,0.2900000000,79.8500000000
Площадка 21 414,2025-04-22 17:00:00,47.9320000000,44.9300000000,0.4620000000,409.5620000000,0.5600000000,15.9630000000,756.4597091559,62.8680000000,0.2810000000,263.4210000000
Площадка 21 414,2025-04-22 17:20:00,46.7860000000,44.2160000000,0.3270000000,402.8260000000,0.5260000000,15.4550000000,756.6997288945,64.7150000000,0.1590000000,297.0500000000
Площадка 21 414,2025-04-22 17:40:00,46.3570000000,45.8570000000,0.3900000000,393.2220000000,0.4100000000,15.2950000000,757.0972615865,65.9500000000,0.2710000000,312.4500000000
Площадка 21 414,2025-04-22 18:00:00,47.8710000000,46.4960000000,0.3980000000,390.0300000000,0.4640000000,15.1750000000,757.4722924280,66.5400000000,0.6200000000,287.6000000000
Площадка 21 414,2025-04-22 18:20:00,47.2380000000,44.3710000000,0.4080000000,401.8420000000,0.4920000000,14.9350000000,757.5622998300,68.8700000000,0.4320000000,293.8000000000
Площадка 21 414,2025-04-22 18:40:00,45.9190000000,42.4480000000,0.3910000000,395.8270000000,0.4620000000,14.6750000000,757.4797930448,70.6300000000,0.1990000000,55.2500000000
Площадка 21 414,2025-04-22 19:00:00,43.7190000000,41.5880000000,0.4210000000,399.0990000000,0.4820000000,14.4000000000,757.5022948953,71.8700000000,0.1560000000,58.2000000000
Площадка 21 414,2025-04-22 19:20:00,41.9100000000,39.3520000000,0.3420000000,400.5580000000,0.4990000000,14.0850000000,757.3297807082,74.1700000000,0.2350000000,71.2500000000
Площадка 21 414,2025-04-22 19:40:00,38.5650000000,38.1680000000,0.3950000000,390.2100000000,0.4980000000,13.7600000000,757.3822850260,76.2750000000,0.1800000000,251.2000000000
Площадка 21 414,2025-04-22 20:00:00,34.0000000000,34.5060000000,0.4380000000,388.6530000000,0.4670000000,13.4750000000,757.6073035309,78.3150000000,0.1770000000,153.1000000000
Площадка 21 414,2025-04-22 20:20:00,23.9130000000,25.8680000000,0.3100000000,384.3580000000,0.5100000000,12.7850000000,757.9373306715,80.8500000000,0.5000000000,185.2000000000
Площадка 21 414,2025-04-22 20:40:00,18.3600000000,20.3980000000,0.3170000000,385.0570000000,0.4370000000,11.9350000000,758.1398473259,82.0850000000,0.6110000000,151.1500000000
Площадка 21 414,2025-04-22 21:00:00,16.8280000000,18.2180000000,0.2760000000,387.8900000000,0.5270000000,11.5000000000,758.2298547278,82.9550000000,0.6560000000,112.7000000000
Площадка 21 414,2025-04-22 21:20:00,16.3340000000,18.7020000000,0.2740000000,417.7510000000,1.3850000000,11.1000000000,758.3873676813,83.4700000000,0.3290000000,222.5500000000
Площадка 21 414,2025-04-22 21:40:00,16.7880000000,19.5750000000,0.3680000000,385.2580000000,1.6040000000,10.8550000000,758.5073775505,83.6400000000,0.3620000000,99.3000000000
Площадка 21 414,2025-04-22 22:00:00,18.2140000000,13.1010000000,0.3050000000,382.6280000000,0.4910000000,10.7300000000,758.7173948218,83.1250000000,0.3340000000,136.9000000000
Площадка 21 414,2025-04-22 22:20:00,19.7960000000,15.1000000000,0.3030000000,376.2370000000,0.4730000000,10.5250000000,758.8299040742,82.3450000000,0.5850000000,92.8500000000
Площадка 21 414,2025-04-22 22:40:00,21.2470000000,18.3130000000,0.3580000000,369.3970000000,0.5080000000,10.2250000000,758.9049102425,81.2650000000,0.3750000000,135.6500000000
Площадка 21 414,2025-04-22 23:00:00,23.0910000000,19.5690000000,0.3600000000,365.6290000000,0.4510000000,9.9000000000,758.8599065415,81.0400000000,0.6750000000,53.4500000000
Площадка 21 414,2025-04-22 23:20:00,23.0750000000,20.1750000000,0.4090000000,362.2300000000,0.5960000000,9.6100000000,758.9199114762,81.6300000000,0.7130000000,47.3000000000
Площадка 21 414,2025-04-22 23:40:00,22.5420000000,20.1160000000,0.3930000000,360.0340000000,0.5010000000,9.1650000000,759.0324207286,82.7750000000,0.5770000000,60.0000000000
Площадка 21 414,2025-04-23 00:00:00,22.5670000000,20.3240000000,0.3290000000,358.0180000000,0.4620000000,8.8100000000,759.1899336821,83.5500000000,0.4320000000,49.7000000000
Площадка 21 414,2025-04-23 00:20:00,22.7470000000,20.7910000000,0.3050000000,355.8030000000,0.5950000000,8.6100000000,759.2274367662,84.0650000000,0.3740000000,136.5000000000
Площадка 21 414,2025-04-23 00:40:00,23.1120000000,20.7100000000,0.3630000000,354.1950000000,0.5470000000,8.3950000000,759.3024429345,84.3300000000,0.4680000000,138.3000000000
Площадка 21 414,2025-04-23 01:00:00,23.7910000000,21.6190000000,0.4430000000,352.6220000000,0.4270000000,8.1850000000,759.2724404672,84.4100000000,0.3150000000,52.9500000000
Площадка 21 414,2025-04-23 01:20:00,25.4540000000,23.2510000000,0.3540000000,350.6670000000,0.4890000000,8.0250000000,759.2499386167,83.9300000000,0.9350000000,52.5500000000
Площадка 21 414,2025-04-23 01:40:00,26.8210000000,24.8120000000,0.4020000000,348.3360000000,0.4090000000,7.8650000000,759.2199361494,83.2050000000,0.7160000000,55.8500000000
Площадка 21 414,2025-04-23 02:00:00,27.0170000000,24.9380000000,0.3430000000,359.8010000000,0.4600000000,7.7600000000,759.3099435513,82.7350000000,0.5440000000,38.5000000000
Площадка 21 414,2025-04-23 02:20:00,27.2100000000,24.9010000000,0.4220000000,347.2420000000,0.5900000000,7.5650000000,759.2349373830,82.4950000000,0.5300000000,58.8000000000
Площадка 21 414,2025-04-23 02:40:00,27.9380000000,25.5740000000,0.4240000000,345.7710000000,0.4770000000,7.5150000000,759.1524305979,82.1150000000,0.7000000000,84.6000000000
Площадка 21 414,2025-04-23 03:00:00,28.6260000000,26.7640000000,0.4150000000,345.9540000000,0.4040000000,7.4050000000,759.4149521870,81.9900000000,0.8600000000,41.6000000000
