Пост мониторинга,Период,NO2,O3,H2S,CO,SO2,"Температура, °С","Давление, мм рт. ст.","Влажность, %","Скорость ветра, м/с","Направление ветра, °"
Площадка 21 414,2025-04-27 10:20:00,35.8250000000,37.0770000000,0.3360000000,344.4240000000,0.5070000000,4.1800000000,751.3667903284,55.8650000000,1.6320000000,291.1500000000
Площадка 21 414,2025-04-27 10:40:00,36.2970000000,38.7600000000,0.3090000000,340.4800000000,0.5090000000,3.7850000000,751.5918088333,56.8700000000,2.1630000000,297.7500000000
Площадка 21 414,2025-04-27 11:00:00,35.9320000000,38.5050000000,0.3090000000,345.7090000000,0.4460000000,3.7600000000,751.7118187026,56.1250000000,1.7260000000,300.4500000000
Площадка 21 414,2025-04-27 11:20:00,36.5130000000,39.3070000000,0.2820000000,341.9000000000,0.5320000000,3.7850000000,751.7943254877,55.8500000000,2.2030000000,296.8500000000
Площадка 21 414,2025-04-27 11:40:00,35.9650000000,38.4080000000,0.3160000000,342.6060000000,0.4890000000,3.7950000000,751.8693316560,57.7350000000,1.0920000000,265.1500000000
Площадка 21 414,2025-04-27 12:00:00,36.6430000000,38.8460000000,0.2770000000,354.8610000000,0.4470000000,3.6800000000,751.9293365906,59.4200000000,1.6190000000,288.5000000000
Площадка 21 414,2025-04-27 12:20:00,37.5450000000,40.2590000000,0.3250000000,341.8810000000,0.4830000000,3.3950000000,752.1318532450,58.8700000000,1.9080000000,298.4500000000
Площадка 21 414,2025-04-27 12:40:00,37.7270000000,40.2850000000,0.2670000000,342.4200000000,0.5900000000,3.4750000000,752.3268692826,59.2800000000,1.4680000000,295.4500000000
Площадка 21 414,2025-04-27 13:00:00,39.1330000000,40.7940000000,0.3280000000,344.6460000000,0.4760000000,3.2850000000,752.4468791519,56.8400000000,1.9060000000,300.7500000000
Площадка 21 414,2025-04-27 13:20:00,39.3360000000,41.7350000000,0.3580000000,341.9260000000,0.3800000000,3.1800000000,752.5068840865,55.9050000000,2.1200000000,299.5000000000
Площадка 21 414,2025-04-27 13:40:00,39.0800000000,41.5460000000,0.3900000000,339.6400000000,0.5510000000,3.0850000000,752.6718976568,56.1300000000,1.7480000000,287.3500000000
Площадка 21 414,2025-04-27 14:00:00,38.9730000000,39.1960000000,0.5900000000,336.4430000000,0.5910000000,2.9850000000,752.8444118439,55.4850000000,1.0610000000,304.6500000000
Площадка 21 414,2025-04-27 14:20:00,38.4930000000,37.3590000000,0.3600000000,340.6290000000,0.5910000000,2.9100000000,752.8819149280,54.6900000000,1.3010000000,303.9500000000
Площадка 21 414,2025-04-27 14:40:00,39.7290000000,39.8250000000,0.3960000000,335.5170000000,0.5200000000,2.7900000000,752.9644217132,53.9150000000,2.0740000000,298.4000000000
Площадка 21 414,2025-04-27 15:00:00,40.0030000000,38.6580000000,0.3650000000,337.1200000000,0.5000000000,2.8000000000,753.1069334329,53.8900000000,1.3320000000,300.9500000000
Площадка 21 414,2025-04-27 15:20:00,39.2780000000,38.5170000000,0.3700000000,336.6350000000,0.4410000000,2.7250000000,753.2194426854,54.1100000000,1.4300000000,291.5000000000
Площадка 21 414,2025-04-27 15:40:00,39.3690000000,38.3610000000,0.4010000000,339.7090000000,0.3460000000,2.7000000000,753.3544537883,54.1400000000,1.2400000000,302.5500000000
Площадка 21 414,2025-04-27 16:00:00,39.3970000000,37.7760000000,0.3620000000,335.4260000000,0.5360000000,2.6950000000,753.4144587230,54.4500000000,1.1890000000,287.5500000000
Площадка 21 414,2025-04-27 16:20:00,39.2280000000,37.6770000000,0.3610000000,336.7180000000,0.5960000000,2.6450000000,753.6094747605,54.6300000000,1.0600000000,276.8500000000
Площадка 21 414,2025-04-27 16:40:00,39.2410000000,37.4450000000,0.3480000000,335.0930000000,0.4590000000,2.6050000000,753.7894895645,54.4400000000,1.1180000000,306.0000000000
Площадка 21 414,2025-04-27 17:00:00,38.6700000000,38.0660000000,0.3810000000,333.1280000000,0.3970000000,2.6000000000,753.9470025179,55.1200000000,0.8670000000,289.8000000000
Площадка 21 414,2025-04-27 17:20:00,38.5610000000,37.6100000000,0.2770000000,333.1630000000,0.5490000000,2.5500000000,754.0970148545,56.5250000000,1.3990000000,305.9000000000
Площадка 21 414,2025-04-27 17:40:00,38.6210000000,37.0480000000,0.3670000000,333.7250000000,0.4370000000,2.4150000000,754.1420185555,58.3300000000,1.9970000000,301.1000000000
Площадка 21 414,2025-04-27 18:00:00,38.0630000000,37.8110000000,0.4150000000,334.0200000000,0.4610000000,2.2900000000,754.2470271911,60.1650000000,1.9590000000,302.8000000000
Площадка 21 414,2025-04-27 18:20:00,38.2160000000,38.4060000000,0.3430000000,330.7290000000,0.5630000000,2.0850000000,754.2245253406,60.7150000000,2.2510000000,302.5500000000
Площадка 21 414,2025-04-27 18:40:00,38.5250000000,37.0960000000,0.4090000000,329.9310000000,0.5410000000,1.9900000000,754.2245253406,61.2100000000,1.6280000000,296.7500000000
Площадка 21 414,2025-04-27 19:00:00,38.4200000000,37.9830000000,0.3910000000,330.8800000000,0.4610000000,1.8550000000,754.1945228733,61.7850000000,1.9480000000,302.2500000000
Площадка 21 414,2025-04-27 19:20:00,38.3680000000,37.5480000000,0.3540000000,330.4420000000,0.4450000000,1.7800000000,754.1870222565,61.4850000000,1.9540000000,299.9000000000
Площадка 21 414,2025-04-27 19:40:00,38.6530000000,37.1260000000,0.4900000000,329.8990000000,0.4460000000,1.6250000000,754.2320259574,62.1100000000,1.8830000000,302.1000000000
Площадка 21 414,2025-04-27 20:00:00,38.5060000000,37.3840000000,0.3540000000,330.4660000000,0.6520000000,1.6000000000,754.2695290416,61.6250000000,1.7780000000,300.1000000000
Площадка 21 414,2025-04-27 20:20:00,38.2780000000,37.5500000000,0.3440000000,329.7560000000,0.4520000000,1.5850000000,754.2620284248,60.8550000000,1.8120000000,302.4000000000
Площадка 21 414,2025-04-27 20:40:00,38.1390000000,37.1980000000,0.3930000000,328.8640000000,0.5450000000,1.5100000000,754.2620284248,61.2450000000,1.9360000000,297.3500000000
Площадка 21 414,2025-04-27 21:00:00,37.1940000000,36.1290000000,0.3890000000,330.6540000000,0.4560000000,1.4370000000,754.2845302752,62.9580000000,1.4630000000,302.3680000000
Площадка 21 414,2025-04-27 21:20:00,35.7000000000,36.1000000000,0.3640000000,329.3000000000,0.4180000000,0.5200000000,754.3520358267,76.0200000000,1.7140000000,303.9000000000
Площадка 21 414,2025-04-27 21:40:00,34.7810000000,33.6570000000,0.3930000000,328.9220000000,0.4520000000,0.1470000000,754.2845302752,79.6160000000,1.4730000000,306.1050000000
Площадка 21 414,2025-04-27 22:00:00,35.2720000000,27.0690000000,0.4080000000,329.2340000000,0.5080000000,0.1750000000,754.2395265743,77.7000000000,1.1270000000,311.9500000000
Площадка 21 414,2025-04-27 22:20:00,33.8560000000,26.7450000000,0.3780000000,327.9660000000,0.4660000000,0.1000000000,753.7144833962,79.2790000000,1.4420000000,301.0000000000
Площадка 21 414,2025-04-27 22:40:00,34.0330000000,27.2360000000,0.4500000000,327.4190000000,0.4270000000,0.0580000000,754.1720210228,76.9320000000,1.6240000000,299.0000000000
Площадка 21 414,2025-04-27 23:00:00,34.0100000000,26.5850000000,0.3910000000,325.6810000000,0.4610000000,0.0210000000,754.0970148545,74.2420000000,1.7230000000,293.0530000000
Площадка 21 414,2025-04-27 23:20:00,34.8110000000,24.6450000000,0.2530000000,325.3640000000,0.6290000000,0E-10,754.0445105367,70.9950000000,1.6750000000,296.8950000000
Площадка 21 414,2025-04-27 23:40:00,34.8570000000,25.4310000000,0.4200000000,325.4450000000,0.5990000000,0.0950000000,753.9470025179,67.1160000000,1.6750000000,301.4210000000
Площадка 21 414,2025-04-28 00:00:00,34.9240000000,26.2620000000,0.3460000000,325.1980000000,0.4280000000,0.1000000000,753.8794969664,63.1160000000,1.6080000000,294.3680000000
Площадка 21 414,2025-04-28 00:20:00,35.2530000000,26.7480000000,0.3700000000,324.2830000000,0.4210000000,0.1000000000,753.8569951159,60.7000000000,2.0030000000,292.6320000000
Площадка 21 414,2025-04-28 00:40:00,35.0760000000,26.9490000000,0.3210000000,323.4420000000,0.4420000000,0.0680000000,753.8194920318,60.1320000000,1.9640000000,292.4740000000
Площадка 21 414,2025-04-28 01:00:00,35.1140000000,26.9100000000,0.3720000000,324.1580000000,0.4490000000,0E-10,753.8119914150,59.4450000000,2.3360000000,293.0500000000
Площадка 21 414,2025-04-28 01:20:00,34.9090000000,26.6070000000,0.4290000000,322.1400000000,0.4840000000,-0.0450000000,753.8044907981,59.8350000000,2.0430000000,300.9000000000
Площадка 21 414,2025-04-28 01:40:00,34.5860000000,25.7060000000,0.3730000000,321.7610000000,0.5550000000,-0.2600000000,753.8569951159,64.5200000000,2.1600000000,295.2500000000
Площадка 21 414,2025-04-28 02:00:00,34.2780000000,25.3290000000,0.3740000000,322.0540000000,0.3780000000,-0.9700000000,753.9094994337,74.4250000000,1.8920000000,296.6000000000
Площадка 21 414,2025-04-28 02:20:00,34.1270000000,25.0160000000,0.3210000000,322.2280000000,0.4460000000,-0.7700000000,753.8119914150,71.2950000000,2.0640000000,292.1500000000
Площадка 21 414,2025-04-28 02:40:00,38.8780000000,19.0340000000,0.3100000000,330.8070000000,0.4330000000,-0.6000000000,753.8344932654,68.9800000000,1.9080000000,291.6000000000
Площадка 21 414,2025-04-28 03:00:00,36.7020000000,21.5050000000,0.3680000000,327.3100000000,0.5190000000,-0.4800000000,753.8194920318,67.8500000000,2.2770000000,295.0000000000
Площадка 21 414,2025-04-28 03:20:00,35.0510000000,23.2000000000,0.4320000000,332.5100000000,0.4890000000,-0.5050000000,753.8944982001,68.7300000000,2.1940000000,293.9000000000
Площадка 21 414,2025-04-28 03:40:00,34.1090000000,25.6550000000,0.3050000000,336.5430000000,0.5350000000,-0.4150000000,753.8869975833,68.5950000000,1.9720000000,292.6000000000
Площадка 21 414,2025-04-28 04:00:00,33.8440000000,23.6240000000,0.3820000000,331.8500000000,0.5500000000,-0.2350000000,753.9470025179,67.4200000000,2.1940000000,295.3000000000
Площадка 21 414,2025-04-28 04:20:00,33.5320000000,23.2410000000,0.4040000000,342.9110000000,0.4820000000,-0.1650000000,753.9695043684,67.4550000000,2.5780000000,296.4000000000
Площадка 21 414,2025-04-28 04:40:00,34.2010000000,22.1780000000,0.3920000000,341.0580000000,0.6910000000,-0.1500000000,753.9620037516,69.0400000000,2.3400000000,295.9500000000
Площадка 21 414,2025-04-28 05:00:00,34.3270000000,20.4200000000,0.4220000000,341.0420000000,0.4230000000,-0.5200000000,754.0595117703,77.3300000000,2.2720000000,295.0500000000
Площадка 21 414,2025-04-28 05:20:00,35.9210000000,19.1010000000,0.3420000000,348.8560000000,0.5830000000,-0.4950000000,754.0445105367,77.3700000000,2.2440000000,291.4500000000
Площадка 21 414,2025-04-28 05:40:00,33.5150000000,20.3550000000,0.2680000000,339.0350000000,0.4470000000,-0.0900000000,753.9770049852,77.5450000000,2.1530000000,289.7500000000
Площадка 21 414,2025-04-28 06:00:00,34.2590000000,26.0150000000,0.3250000000,341.8030000000,0.5530000000,0.6300000000,753.9695043684,69.9350000000,2.6840000000,288.8500000000
Площадка 21 414,2025-04-28 06:20:00,33.9810000000,25.6140000000,0.3660000000,339.2790000000,0.5200000000,1.1500000000,753.8494944991,66.9400000000,2.7050000000,292.1500000000
Площадка 21 414,2025-04-28 06:40:00,34.9650000000,28.0130000000,0.3530000000,334.5870000000,0.4040000000,1.2400000000,753.8344932654,66.0600000000,3.1950000000,286.3000000000
Площадка 21 414,2025-04-28 07:00:00,36.1940000000,28.3590000000,0.3830000000,333.0460000000,0.5550000000,1.4450000000,753.7894895645,63.3850000000,3.4810000000,285.9000000000
Площадка 21 414,2025-04-28 07:20:00,36.0620000000,28.7560000000,0.4770000000,327.3580000000,0.3640000000,2.3500000000,753.6994821625,61.1950000000,3.4210000000,287.5500000000
Площадка 21 414,2025-04-28 07:40:00,36.1820000000,28.0130000000,0.3940000000,331.5020000000,0.5690000000,3.4200000000,753.5869729101,56.7950000000,2.2460000000,296.7000000000
Площадка 21 414,2025-04-28 08:00:00,39.0660000000,30.8120000000,0.4290000000,330.4920000000,0.5500000000,3.3750000000,753.5044661249,52.1000000000,2.7860000000,298.1000000000
Площадка 21 414,2025-04-28 08:20:00,40.7830000000,31.1250000000,0.3760000000,332.7530000000,0.4580000000,3.4450000000,753.5419692091,49.3150000000,2.6590000000,295.0500000000
Площадка 21 414,2025-04-28 08:40:00,41.2820000000,32.1170000000,0.3260000000,327.8060000000,0.4760000000,3.5950000000,753.5194673586,44.8950000000,3.3000000000,295.9500000000
Площадка 21 414,2025-04-28 09:00:00,41.1350000000,31.6830000000,0.4080000000,333.4680000000,0.5970000000,3.7000000000,753.4669630408,42.7150000000,3.0920000000,288.6500000000
Площадка 21 414,2025-04-28 09:20:00,42.5140000000,31.3860000000,0.4230000000,337.1740000000,0.5230000000,3.9150000000,753.4144587230,38.3650000000,3.4360000000,291.6500000000
Площадка 21 414,2025-04-28 09:40:00,42.8470000000,31.3890000000,0.4600000000,337.0910000000,0.4430000000,4.4550000000,753.3994574893,35.1700000000,3.5350000000,293.5000000000
Площадка 21 414,2025-04-28 10:00:00,42.2650000000,33.0410000000,0.3540000000,341.4350000000,0.5100000000,4.9900000000,753.3619544052,35.1100000000,3.0370000000,297.5000000000
Площадка 21 414,2025-04-28 10:20:00,41.8890000000,31.5950000000,0.3970000000,336.4760000000,0.4950000000,4.6700000000,753.4294599566,35.2350000000,3.2300000000,288.4500000000
Площадка 21 414,2025-04-28 10:40:00,41.5820000000,32.1230000000,0.3870000000,332.0470000000,0.4220000000,4.6000000000,753.4069581061,35.0900000000,3.8010000000,290.7000000000
Площадка 21 414,2025-04-28 11:00:00,41.5130000000,31.9040000000,0.3880000000,330.3340000000,0.3290000000,5.0600000000,753.4069581061,33.6800000000,3.4490000000,296.7500000000
Площадка 21 414,2025-04-28 11:20:00,42.8600000000,29.3540000000,0.4310000000,333.1600000000,0.3410000000,5.1800000000,753.3919568725,33.8900000000,3.5500000000,288.1000000000
Площадка 21 414,2025-04-28 11:40:00,41.6640000000,31.4760000000,0.4860000000,335.0490000000,0.5920000000,4.9500000000,753.4294599566,34.6050000000,3.5580000000,288.4000000000
Площадка 21 414,2025-04-28 12:00:00,42.8320000000,31.4670000000,0.3980000000,335.9360000000,0.5410000000,4.9750000000,753.4294599566,33.9900000000,3.5110000000,290.2500000000
Площадка 21 414,2025-04-28 12:20:00,44.9490000000,29.0610000000,0.3340000000,338.9620000000,0.5270000000,5.2900000000,753.3619544052,34.1300000000,3.2380000000,290.1500000000
Площадка 21 414,2025-04-28 12:40:00,44.0580000000,29.3860000000,0.4050000000,337.8720000000,0.4740000000,5.3400000000,753.3319519378,34.4300000000,2.8890000000,290.2000000000
Площадка 21 414,2025-04-28 13:00:00,43.1950000000,33.1500000000,0.3440000000,331.9470000000,0.4930000000,5.8250000000,753.2119420686,32.2900000000,2.5510000000,297.7000000000
Площадка 21 414,2025-04-28 13:20:00,44.2790000000,31.6280000000,0.3820000000,338.9020000000,0.4680000000,5.9550000000,753.1219346666,31.9650000000,3.1540000000,286.8500000000
Площадка 21 414,2025-04-28 13:40:00,44.6200000000,28.8820000000,0.3350000000,382.5520000000,0.5700000000,6.5550000000,753.0394278815,30.1600000000,3.0360000000,292.8000000000
Площадка 21 414,2025-04-28 14:00:00,41.6880000000,35.0700000000,0.8830000000,359.4160000000,0.4580000000,6.5250000000,753.0244266478,30.6050000000,3.4510000000,289.2000000000
Площадка 21 414,2025-04-28 14:20:00,41.5150000000,34.5460000000,0.3470000000,347.7140000000,0.5580000000,6.7320000000,753.0469284983,29.9260000000,3.3590000000,292.9470000000
Площадка 21 414,2025-04-28 14:40:00,41.5730000000,35.3320000000,0.4180000000,348.3900000000,0.5920000000,6.6950000000,753.1219346666,29.9400000000,3.4570000000,291.4500000000
Площадка 21 414,2025-04-28 15:00:00,41.6490000000,34.6210000000,0.4240000000,347.4560000000,0.6200000000,6.2300000000,753.1894402181,29.9700000000,3.5360000000,289.0500000000
Площадка 21 414,2025-04-28 15:20:00,41.5270000000,34.4060000000,0.3910000000,344.4830000000,0.5670000000,6.0900000000,753.3244513210,30.2950000000,3.2970000000,288.0500000000
Площадка 21 414,2025-04-28 15:40:00,41.2180000000,34.4150000000,0.4080000000,341.4760000000,0.5020000000,6.0900000000,753.4369605735,31.3550000000,3.1130000000,288.1500000000
Площадка 21 414,2025-04-28 16:00:00,40.8860000000,34.2140000000,0.3430000000,344.7570000000,0.5740000000,6.0700000000,753.5044661249,31.1050000000,2.8040000000,286.1500000000
Площадка 21 414,2025-04-28 16:20:00,41.0350000000,33.1220000000,0.4650000000,344.3840000000,0.5790000000,5.9600000000,753.6094747605,31.7200000000,3.1480000000,289.3500000000
Площадка 21 414,2025-04-28 16:40:00,41.0640000000,34.4810000000,0.3540000000,340.6750000000,0.5830000000,5.7050000000,753.7519864803,32.2650000000,3.1750000000,289.8000000000
Площадка 21 414,2025-04-28 17:00:00,41.1160000000,32.9670000000,0.3930000000,342.4460000000,0.5970000000,5.4100000000,753.9920062189,33.1300000000,2.4280000000,288.5500000000
Площадка 21 414,2025-04-28 17:20:00,41.5400000000,31.9360000000,0.5010000000,344.9640000000,0.5670000000,5.0750000000,754.1495191723,34.2250000000,1.5840000000,286.2500000000
Площадка 21 414,2025-04-28 17:40:00,41.4980000000,31.9650000000,0.4630000000,349.2590000000,0.4240000000,4.8450000000,754.3220333594,34.5750000000,1.5980000000,287.0500000000
Площадка 21 414,2025-04-28 18:00:00,41.8760000000,31.2170000000,0.4040000000,352.5270000000,0.4930000000,4.6450000000,754.4345426118,35.4200000000,1.3610000000,281.6500000000
Площадка 21 414,2025-04-28 18:20:00,41.4300000000,31.7250000000,0.4510000000,344.4860000000,0.4270000000,4.5050000000,754.5320506306,35.4350000000,1.3520000000,284.0000000000
Площадка 21 414,2025-04-28 18:40:00,41.5870000000,32.4290000000,0.3430000000,342.9270000000,0.4810000000,4.3450000000,754.6595611167,36.0350000000,1.3450000000,282.8500000000
Площадка 21 414,2025-04-28 19:00:00,41.2830000000,32.9790000000,0.3760000000,340.0440000000,0.4030000000,4.2400000000,754.7195660514,36.4050000000,1.5430000000,285.4500000000
Площадка 21 414,2025-04-28 19:20:00,41.0830000000,33.4560000000,0.3870000000,340.1090000000,0.5000000000,4.1300000000,754.8095734533,36.9550000000,1.2460000000,288.0000000000
Площадка 21 414,2025-04-28 19:40:00,41.0110000000,33.0690000000,0.3420000000,354.9440000000,0.5480000000,3.9900000000,754.9295833226,37.1900000000,0.8850000000,276.0500000000
Площадка 21 414,2025-04-28 20:00:00,41.7060000000,32.7760000000,0.3920000000,344.0880000000,0.5290000000,3.9750000000,755.0420925751,37.5050000000,1.0520000000,280.4000000000
Площадка 21 414,2025-04-28 20:20:00,41.7890000000,31.6200000000,0.3670000000,344.0380000000,0.5030000000,3.8950000000,755.1846042948,38.4890000000,1.2890000000,279.9470000000
Площадка 21 414,2025-04-28 20:40:00,40.2180000000,32.5600000000,0.4570000000,347.0490000000,0.5300000000,3.8150000000,755.2821123136,39.1150000000,0.9760000000,284.1000000000
Площадка 21 414,2025-04-28 21:00:00,40.4770000000,32.1180000000,0.4210000000,333.2170000000,0.4540000000,3.6450000000,755.4246240334,39.8750000000,0.9760000000,281.8500000000
Площадка 21 414,2025-04-28 21:20:00,40.1470000000,31.2090000000,0.4260000000,334.3060000000,0.4010000000,3.5400000000,755.5746363700,40.1850000000,0.8160000000,281.1500000000
Площадка 21 414,2025-04-28 21:40:00,39.7010000000,30.1100000000,0.4280000000,331.8530000000,0.4410000000,3.4850000000,755.7171480898,40.5200000000,1.2150000000,285.7500000000
Площадка 21 414,2025-04-28 22:00:00,37.6480000000,37.8780000000,0.8430000000,331.0590000000,0.6530000000,3.3800000000,755.8371579591,41.5000000000,1.3710000000,275.4000000000
Площадка 21 414,2025-04-28 22:20:00,37.0600000000,37.8360000000,0.2990000000,329.1800000000,0.5830000000,3.3950000000,755.9496672115,43.0200000000,1.4200000000,278.6500000000
Площадка 21 414,2025-04-28 22:40:00,38.3900000000,33.9420000000,0.4100000000,330.8320000000,0.5600000000,3.3800000000,756.0096721461,45.7550000000,0.9390000000,279.9500000000
Площадка 21 414,2025-04-28 23:00:00,37.8620000000,35.3900000000,0.3410000000,332.8940000000,0.6580000000,3.5050000000,756.1146807818,48.6890000000,1.0440000000,281.1050000000
Площадка 21 414,2025-04-28 23:20:00,36.5430000000,34.3160000000,0.3430000000,330.3840000000,0.4810000000,3.4500000000,756.2196894174,52.6900000000,0.5050000000,277.3500000000
Площадка 21 414,2025-04-28 23:40:00,36.3680000000,33.3030000000,0.3510000000,327.9760000000,0.5180000000,3.4000000000,756.2871949689,53.8850000000,0.7150000000,276.4000000000
Площадка 21 414,2025-04-29 00:00:00,35.3620000000,35.5620000000,0.2870000000,326.8040000000,0.4890000000,3.2700000000,756.3697017540,52.5650000000,0.5350000000,261.7500000000
Площадка 21 414,2025-04-29 00:20:00,32.1450000000,26.5670000000,5.2690000000,347.2970000000,0.5140000000,1.9450000000,756.5047128569,55.6300000000,0.1750000000,273.3000000000
Площадка 21 414,2025-04-29 00:40:00,32.7940000000,26.6070000000,2.2440000000,356.9070000000,0.4870000000,1.0500000000,756.5497165579,55.3350000000,0.1500000000,258.1500000000
Площадка 21 414,2025-04-29 01:00:00,32.3390000000,27.5960000000,0.6710000000,346.1510000000,0.4160000000,0.8300000000,756.5872196421,54.9600000000,0.1570000000,194.1000000000
Площадка 21 414,2025-04-29 01:20:00,31.1680000000,19.4480000000,4.2940000000,375.6370000000,0.4730000000,-0.4250000000,756.5797190252,59.0450000000,0.1520000000,105.8000000000
Площадка 21 414,2025-04-29 01:40:00,29.6950000000,20.5940000000,2.3120000000,365.4000000000,0.4630000000,-1.3050000000,756.6547251935,61.9050000000,0.1500000000,115.8500000000
Площадка 21 414,2025-04-29 02:00:00,26.2370000000,22.2430000000,1.9170000000,369.5140000000,0.5840000000,-1.8600000000,756.7747350628,63.6500000000,0.1500000000,140.2500000000
Площадка 21 414,2025-04-29 02:20:00,25.2660000000,22.1780000000,1.8730000000,381.9660000000,0.3490000000,-2.1550000000,756.8347399974,64.9150000000,0.1510000000,150.3000000000
Площадка 21 414,2025-04-29 02:40:00,26.6580000000,22.3050000000,0.7870000000,393.7590000000,0.5120000000,-2.0200000000,756.8872443153,65.7400000000,0.1560000000,124.0000000000
Площадка 21 414,2025-04-29 03:00:00,27.0280000000,21.0140000000,0.5440000000,367.4150000000,0.5340000000,-1.2750000000,756.9547498667,64.6700000000,0.3140000000,121.7000000000
Площадка 21 414,2025-04-29 03:20:00,27.4280000000,19.8860000000,0.5340000000,412.4390000000,0.5160000000,0.5000000000,756.9247473994,58.9650000000,0.3600000000,125.0000000000
Площадка 21 414,2025-04-29 03:40:00,27.8150000000,20.6390000000,0.5460000000,497.7180000000,0.4100000000,1.6200000000,756.9547498667,55.7400000000,0.5270000000,128.8500000000
Площадка 21 414,2025-04-29 04:00:00,28.6440000000,17.1490000000,0.6790000000,458.5100000000,0.5560000000,3.6150000000,757.0222554182,50.8550000000,0.2280000000,122.2500000000
Площадка 21 414,2025-04-29 04:20:00,30.3560000000,15.3860000000,0.7770000000,532.6970000000,0.3450000000,4.1300000000,756.8872443153,50.6400000000,0.8050000000,125.1500000000
Площадка 21 414,2025-04-29 04:40:00,32.9200000000,15.1500000000,0.8280000000,473.4140000000,0.4820000000,6.8800000000,756.7222307450,43.0700000000,0.6850000000,136.8000000000
Площадка 21 414,2025-04-29 05:00:00,33.5230000000,16.3540000000,0.7770000000,486.5240000000,0.4320000000,7.9150000000,756.6097214925,41.0300000000,0.6420000000,136.4000000000
Площадка 21 414,2025-04-29 05:20:00,33.5090000000,22.9430000000,1.4200000000,382.6120000000,0.4900000000,9.7050000000,756.5647177916,35.2650000000,0.4840000000,173.5000000000
Площадка 21 414,2025-04-29 05:40:00,38.4760000000,28.3970000000,0.2960000000,373.4980000000,0.4320000000,9.7250000000,756.5722184084,32.7150000000,0.7460000000,202.0000000000
Площадка 21 414,2025-04-29 06:00:00,39.6960000000,25.7720000000,0.2440000000,371.7560000000,0.5410000000,9.9400000000,756.4897116233,32.6200000000,0.4840000000,203.7500000000
Площадка 21 414,2025-04-29 06:20:00,41.6660000000,26.0860000000,0.3490000000,395.3790000000,0.5000000000,9.1150000000,756.5272147074,36.4800000000,1.8220000000,245.2000000000
Площадка 21 414,2025-04-29 06:40:00,44.4800000000,23.2980000000,0.2950000000,424.9530000000,0.5700000000,8.2350000000,756.5797190252,42.0400000000,1.2950000000,241.9000000000
Площадка 21 414,2025-04-29 07:00:00,43.8950000000,24.2420000000,0.2850000000,407.1580000000,0.4200000000,8.3350000000,756.5797190252,47.8550000000,0.8030000000,238.6000000000
Площадка 21 414,2025-04-29 07:20:00,45.1580000000,25.2790000000,0.4550000000,389.1700000000,0.5140000000,8.6400000000,756.4597091559,52.0100000000,1.1160000000,240.8500000000
Площадка 21 414,2025-04-29 07:40:00,44.2960000000,26.9130000000,0.1660000000,388.0250000000,0.5160000000,8.6950000000,756.3697017540,50.9000000000,1.0270000000,228.9000000000
Площадка 21 414,2025-04-29 08:00:00,44.5560000000,27.1640000000,0.3450000000,398.9300000000,0.6300000000,9.3050000000,756.0996795481,44.0200000000,0.8110000000,204.0000000000
Площадка 21 414,2025-04-29 08:20:00,45.3680000000,29.2160000000,0.2600000000,386.9200000000,0.4560000000,10.1150000000,755.7771530244,37.2800000000,1.0520000000,204.3000000000
Площадка 21 414,2025-04-29 08:40:00,45.1990000000,26.2560000000,0.2900000000,383.1830000000,0.4930000000,10.1400000000,755.5746363700,37.4200000000,0.7870000000,206.3000000000
Площадка 21 414,2025-04-29 09:00:00,44.3630000000,24.4770000000,0.3970000000,392.0730000000,0.4410000000,10.0950000000,755.4021221829,38.7050000000,0.8660000000,212.7500000000
Площадка 21 414,2025-04-29 09:20:00,44.1400000000,26.2100000000,0.3120000000,386.1190000000,0.5650000000,10.2400000000,755.1170987434,38.4250000000,0.6690000000,213.3000000000
Площадка 21 414,2025-04-29 09:40:00,45.6020000000,23.8820000000,0.2800000000,398.8740000000,0.5540000000,10.7800000000,754.8545771543,37.9200000000,1.0360000000,196.9000000000
Площадка 21 414,2025-04-29 10:00:00,45.6430000000,27.7180000000,0.3440000000,386.9470000000,0.5270000000,11.8750000000,754.5770543316,36.2900000000,1.3070000000,216.7500000000
Площадка 21 414,2025-04-29 10:20:00,47.7640000000,32.5270000000,0.3230000000,379.0120000000,0.5960000000,11.9300000000,754.4570444623,37.3150000000,2.5890000000,245.7500000000
Площадка 21 414,2025-04-29 10:40:00,50.3110000000,32.5650000000,0.3950000000,384.6390000000,0.4350000000,12.0650000000,754.3970395277,39.0200000000,2.6740000000,253.1000000000
Площадка 21 414,2025-04-29 11:00:00,50.0700000000,33.6150000000,0.2700000000,384.1850000000,0.5050000000,12.4200000000,754.2620284248,38.3650000000,2.0300000000,248.9000000000
Площадка 21 414,2025-04-29 11:20:00,49.9090000000,34.2700000000,0.3450000000,379.5450000000,0.5980000000,13.0650000000,754.1195167050,37.8250000000,2.1520000000,242.8500000000
Площадка 21 414,2025-04-29 11:40:00,50.1930000000,35.7630000000,0.4070000000,373.9550000000,0.5250000000,13.5850000000,754.0295093030,38.9800000000,1.8940000000,216.4500000000
Площадка 21 414,2025-04-29 12:00:00,51.1030000000,35.2440000000,0.4200000000,369.8160000000,0.4850000000,13.2500000000,754.0595117703,40.0600000000,2.0340000000,239.8000000000
Площадка 21 414,2025-04-29 12:20:00,53.5220000000,34.2870000000,0.2630000000,370.4070000000,0.5410000000,13.6350000000,753.8944982001,38.8900000000,1.6620000000,228.7000000000
